file,slug,page_type,title,h1,primary_keyword,parent,hero_image,schema,word_count
"core/arrested.md","arrested","core","You Have Been Arrested | What Happens Now","You have been arrested. What happens now","arrested in ireland what happens","index","corridor","WebPage","1174"
"core/contact.md","contact","core","Contact Us | 24 Hour Garda Station Solicitors, Dublin","Contact us","contact garda station solicitor dublin","index","georgian-door","LegalService","931"
"core/family-member-arrested.md","family-member-arrested","core","My Family Member Has Been Arrested | What To Do","Someone you love has been arrested","family member arrested ireland","index","consultation-room","WebPage","1181"
"core/index.md","index","core","Garda Station Solicitors | 24 Hour Advice, Dublin","Before you say anything to the Gardai, speak to a solicitor","garda station solicitor","","hero-dublin","LegalService","1173"
"core/legal-aid.md","legal-aid","core","Legal Aid and Free Legal Advice at a Garda Station","Legal aid and free legal advice","garda station legal advice scheme","index","consultation-room","WebPage","1180"
"core/tony-collier.md","tony-collier","core","Tony Collier | Criminal Defence Solicitor, Dublin","Tony Collier and the criminal defence team","tony collier solicitor","index","law-library","Attorney","1265"
"core/voluntary-attendance.md","voluntary-attendance","core","Asked to Attend a Garda Station Voluntarily","Asked to attend a Garda station voluntarily","voluntary attendance garda station","index","georgian-door","WebPage","1179"
"core/weekend-out-of-hours.md","weekend-out-of-hours","core","Weekend and Out of Hours Solicitor | Garda Stations","Nights, weekends and bank holidays","weekend solicitor garda station","index","night-street","LegalService","1160"
"core/your-rights.md","your-rights","core","Your Rights in a Garda Station | What You Are Entitled To","Your rights in a Garda station","rights in a garda station","index","law-library","WebPage","1174"
"counties/garda-station-solicitor-carlow.md","garda-station-solicitor-carlow","county","Garda Station Solicitors Carlow | 24 Hour Legal Advice","Garda station solicitors in Carlow","garda station solicitor carlow","nationwide","night-street","LegalService","657"
"counties/garda-station-solicitor-cavan.md","garda-station-solicitor-cavan","county","Garda Station Solicitors Cavan | 24 Hour Legal Advice","Garda station solicitors in Cavan","garda station solicitor cavan","nationwide","night-street","LegalService","627"
"counties/garda-station-solicitor-clare.md","garda-station-solicitor-clare","county","Garda Station Solicitors Clare | 24 Hour Legal Advice","Garda station solicitors in Clare","garda station solicitor clare","nationwide","night-street","LegalService","646"
"counties/garda-station-solicitor-cork.md","garda-station-solicitor-cork","county","Garda Station Solicitors Cork | 24 Hour Legal Advice","Garda station solicitors in Cork","garda station solicitor cork","nationwide","night-street","LegalService","641"
"counties/garda-station-solicitor-donegal.md","garda-station-solicitor-donegal","county","Garda Station Solicitors Donegal | 24 Hour Advice","Garda station solicitors in Donegal","garda station solicitor donegal","nationwide","night-street","LegalService","659"
"counties/garda-station-solicitor-dublin.md","garda-station-solicitor-dublin","county","Garda Station Solicitors Dublin | 24 Hour Legal Advice","Garda station solicitors in Dublin","garda station solicitor dublin","nationwide","hero-dublin","LegalService","657"
"counties/garda-station-solicitor-galway.md","garda-station-solicitor-galway","county","Garda Station Solicitors Galway | 24 Hour Advice","Garda station solicitors in Galway","garda station solicitor galway","nationwide","night-street","LegalService","673"
"counties/garda-station-solicitor-kerry.md","garda-station-solicitor-kerry","county","Garda Station Solicitors Kerry | 24 Hour Legal Advice","Garda station solicitors in Kerry","garda station solicitor kerry","nationwide","night-street","LegalService","664"
"counties/garda-station-solicitor-kildare.md","garda-station-solicitor-kildare","county","Garda Station Solicitors Kildare | 24 Hour Legal Advice","Garda station solicitors in Kildare","garda station solicitor kildare","nationwide","night-street","LegalService","641"
"counties/garda-station-solicitor-kilkenny.md","garda-station-solicitor-kilkenny","county","Garda Station Solicitors Kilkenny | 24 Hour Advice","Garda station solicitors in Kilkenny","garda station solicitor kilkenny","nationwide","night-street","LegalService","646"
"counties/garda-station-solicitor-laois.md","garda-station-solicitor-laois","county","Garda Station Solicitors Laois | 24 Hour Legal Advice","Garda station solicitors in Laois","garda station solicitor laois","nationwide","night-street","LegalService","635"
"counties/garda-station-solicitor-leitrim.md","garda-station-solicitor-leitrim","county","Garda Station Solicitors Leitrim | 24 Hour Advice","Garda station solicitors in Leitrim","garda station solicitor leitrim","nationwide","night-street","LegalService","635"
"counties/garda-station-solicitor-limerick.md","garda-station-solicitor-limerick","county","Garda Station Solicitors Limerick | 24 Hour Advice","Garda station solicitors in Limerick","garda station solicitor limerick","nationwide","night-street","LegalService","666"
"counties/garda-station-solicitor-longford.md","garda-station-solicitor-longford","county","Garda Station Solicitors Longford | 24 Hour Advice","Garda station solicitors in Longford","garda station solicitor longford","nationwide","night-street","LegalService","636"
"counties/garda-station-solicitor-louth.md","garda-station-solicitor-louth","county","Garda Station Solicitors Louth | 24 Hour Legal Advice","Garda station solicitors in Louth","garda station solicitor louth","nationwide","night-street","LegalService","662"
"counties/garda-station-solicitor-mayo.md","garda-station-solicitor-mayo","county","Garda Station Solicitors Mayo | 24 Hour Legal Advice","Garda station solicitors in Mayo","garda station solicitor mayo","nationwide","night-street","LegalService","664"
"counties/garda-station-solicitor-meath.md","garda-station-solicitor-meath","county","Garda Station Solicitors Meath | 24 Hour Legal Advice","Garda station solicitors in Meath","garda station solicitor meath","nationwide","night-street","LegalService","630"
